Destination,Prefix,First Increment,Second Increment,Rate
ARMENIA - FREEPHONE,374800,30,6,0.1232
ARMENIA - MOBILE,3747,30,6,0.2402
ARMENIA - MOBILE,37494,30,6,0.2402
ARMENIA - MOBILE,37491,30,6,0.2402
ARMENIA - MOBILE,37497,30,6,0.2209
ARMENIA - MOBILE,37492,30,6,0.2402
ARMENIA - MOBILE,37477,30,6,0.2402
ARMENIA - MOBILE,37493,30,6,0.2402
ARMENIA - MOBILE,37499,30,6,0.2402
ARMENIA - MOBILE,3749,30,6,0.2402
ARMENIA - NORTH KARABAKH,37447,30,6,0.1232
ARMENIA - PREMIUM,374803,30,6,0.1232
ARMENIA - PREMIUM,374906,30,6,0.2402
ARMENIA - PREMIUM,374804,30,6,0.1232
ARMENIA - PREMIUM,374901,30,6,0.2402
ARMENIA - PREMIUM,374801,30,6,0.1232
ARMENIA - PREMIUM,374802,30,6,0.1232
ARMENIA - PREMIUM,374900,30,6,0.2402
ARMENIA - PROPER,374,30,6,0.1232
ARMENIA - YEREVAN,37410,30,6,0.0744
ARUBA - FREEPHONE,297800,30,6,0.1153
ARUBA - MOBILE,29756,30,6,0.2361
ARUBA - MOBILE,29796,30,6,0.2361
ARUBA - MOBILE,297995,30,6,0.2361
ARUBA - MOBILE,29773,30,6,0.2361
ARUBA - MOBILE,297993,30,6,0.2361
ARUBA - MOBILE,29774,30,6,0.2361
ARUBA - MOBILE,297990,30,6,0.2361
ARUBA - MOBILE,29759,30,6,0.2361
ARUBA - MOBILE,297996,30,6,0.2361
ARUBA - MOBILE,297994,30,6,0.2361
ARUBA - MOBILE,297998,30,6,0.2361
ARUBA - MOBILE,297997,30,6,0.2361
ARUBA - MOBILE,297992,30,6,0.2361
ARUBA - MOBILE,297999,30,6,0.2361
ARUBA - PAGER,297127,30,6,0.1160
ARUBA - PREMIUM,297900,30,6,0.1160
ARUBA - PROPER,297,30,6,0.1195
ASCENSION ISLAND - PROPER,247,30,6,0.5815
AUSTRALIA - ADELAIDE,6187,30,6,0.0244
AUSTRALIA - ADELAIDE,61884,30,6,0.0150
AUSTRALIA - ADELAIDE,61883,30,6,0.0150
AUSTRALIA - ADELAIDE,61881,30,6,0.0150
AUSTRALIA - ADELAIDE,61882,30,6,0.0150
AUSTRALIA - BRISBANE,6173,30,6,0.0150
AUSTRALIA - CANBERRA,61262,30,6,0.0150
AUSTRALIA - CANBERRA,61261,30,6,0.0150
AUSTRALIA - CHRISTMAS ISLAND,61891007,30,6,0.0244
AUSTRALIA - CHRISTMAS ISLAND,6189164,30,6,0.0244
AUSTRALIA - CHRISTMAS ISLAND,61891006,30,6,0.0244
AUSTRALIA - CHRISTMAS ISLAND,61891008,30,6,0.0244
AUSTRALIA - COCOS ISLANDS,6189162,30,6,0.0244
AUSTRALIA - COCOS ISLANDS,61891011,30,6,0.0244
AUSTRALIA - COCOS ISLANDS,61891010,30,6,0.0244
AUSTRALIA - COCOS ISLANDS,61891012,30,6,0.0244
AUSTRALIA - FREEPHONE,611800,30,6,0.1319
AUSTRALIA - MELBOURNE,6138,30,6,0.0150
AUSTRALIA - MELBOURNE,6139,30,6,0.0150
AUSTRALIA - MOBILE - HUTCHISON,61433,30,6,0.1319
AUSTRALIA - MOBILE - HUTCHISON,614300,30,6,0.1319
AUSTRALIA - MOBILE - HUTCHISON,614258,30,6,0.1319
AUSTRALIA - MOBILE - HUTCHISON,614252,30,6,0.1319
AUSTRALIA - MOBILE - HUTCHISON,614251,30,6,0.1319
AUSTRALIA - MOBILE - HUTCHISON,614304,30,6,0.1319
AUSTRALIA - MOBILE - HUTCHISON,614257,30,6,0.1319
AUSTRALIA - MOBILE - HUTCHISON,614253,30,6,0.1319
AUSTRALIA - MOBILE - HUTCHISON,614303,30,6,0.1319
AUSTRALIA - MOBILE - HUTCHISON,614256,30,6,0.1319
AUSTRALIA - MOBILE - HUTCHISON,614301,30,6,0.1319
AUSTRALIA - MOBILE - HUTCHISON,614305,30,6,0.1319
AUSTRALIA - MOBILE - HUTCHISON,614302,30,6,0.1319
AUSTRALIA - MOBILE - OPTUS,614665,30,6,0.1319
AUSTRALIA - MOBILE - OPTUS,61413,30,6,0.1319
AUSTRALIA - MOBILE - OPTUS,61421,30,6,0.1319
